Comment,Designator,Footprint,LCSC
"1n","C1","Capacitors_SMD:C_0805",""
"100n","C2,C3,C4,C5","Capacitors_SMD:C_0805",""
"BAT54S","D1","TO_SOT_Packages_SMD:SOT-23",""
"Conn_01x01","J1,J3,J4","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.00mm",""
"Screw_Terminal_01x04","J2","phils-connectors:plug_term_p4",""
"Conn_01x06","J5","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"470000","R1","Resistors_SMD:R_1206",""
"12000","R2","Resistors_SMD:R_1206",""
"10K","R3","Resistors_SMD:R_0805",""
"2.2K","R4,R5","Resistors_SMD:R_0805",""
"DNP","R6,R7","Resistors_SMD:R_0805",""
"MCP601-xOT","U1","TO_SOT_Packages_SMD:SOT-23-5","C128440 "
"MCP3221","U2","TO_SOT_Packages_SMD:SOT-23-5","C36310"
"ISO154x","U3","SOIC:SOIC-8_3.9x4.9mm_P1.27mm","C179739"